budget,genre,name,score,year
80000000,animation,space jam,6.3,1996
10000000,crime,the oxford murders,6.1,2008
60000000,action,goldeneye,7.2,1995
65000000,adventure,the pink panther,5.6,2006
25100000,biography,w.,6.3,2008
unknown,biography,permanent midnight,6.3,1998
200000000,action,terminator salvation,6.6,2009
unknown,family,nutcracker,7.2,1986
90000000,comedy,town & country,4.4,2001
unknown,crime,insomnia,7.3,1997
12000000,adventure,the santa clause 3: the escape clause,4.7,2006
123000000,comedy,how the grinch stole christmas,6.0,2000
unknown,action,cold steel,4.5,1987
unknown,comedy,love honor and obey,6.5,2000
unknown,drama,i am love,7.0,2009
6000000,comedy,ernest saves christmas,5.6,1988
unknown,action,ip man 2,7.6,2010
22000000,action,traitor,7.0,2008
unknown,comedy,she-devil,5.5,1989
35000000,action,sudden death,5.7,1995
unknown,comedy,wanderlust,5.6,2012
unknown,comedy,samantha,6.5,1991
17000000,horror,los otros,7.6,2001
31000000,comedy,wimbledon,6.3,2004
unknown,biography,aimee & jaguar,7.3,1999
25000000,drama,the lucky one,6.5,2012
25000000,action,the golden child,5.9,1986
145000000,action,mission: impossible - ghost protocol,7.4,2011
unknown,drama,three for the road,5.3,1987
800000,crime,cop car,6.3,2015
unknown,comedy,dear white people,6.2,2014
unknown,comedy,masked and anonymous,5.5,2003
5000000,crime,bad education,7.5,2004
26000000,adventure,o brother where art thou?,7.8,2000
unknown,drama,gardens of stone,6.4,1987
100000000,action,end of days,5.7,1999
unknown,comedy,the last five years,5.9,2014
unknown,drama,code unknown,7.2,2000
6000000,drama,the wrestler,7.9,2008
unknown,action,fighting,5.6,2009
45000000,comedy,tin cup,6.3,1996
unknown,adventure,the odd couple ii,6.4,1998
unknown,action,black moon rising,5.4,1986
10000000,comedy,saving grace,6.9,2000
unknown,drama,z for zachariah,6.0,2015
25000000,action,the eagle,6.2,2011
unknown,crime,i want you,6.3,1998
45000000,crime,inside man,7.6,2006
15000000,mystery,por el lado oscuro del camino,7.6,1997
unknown,comedy,balls of fury,5.3,2007
22000000,action,12 rounds,5.6,2009
unknown,adventure,the way back,7.3,2010
45000000,drama,love in the time of cholera,6.4,2007
unknown,comedy,dr. giggles,5.1,1992
unknown,comedy,star maps,5.9,1997
5000000,drama,the gift,7.1,2015
58000000,action,red,7.1,2010
4000000,biography,sid and nancy,7.1,1986
20000000,action,risen,6.3,2016
unknown,comedy,scenes from the class struggle in beverly hills,6.2,1989
22000000,action,underworld,7.0,2003
15500000,drama,vicky cristina barcelona,7.1,2008
unknown,comedy,crush,5.9,2001
8000000,fantasy,in the mouth of madness,7.2,1994
unknown,biography,killer: a journal of murder,6.4,1995
unknown,action,postal,4.5,2007
85000000,comedy,jack frost,5.3,1998
24000000,comedy,the fisher king,7.6,1991
45000000,action,miracle at st. anna,6.0,2008
10000000,comedy,calendar girls,6.9,2003
25000000,biography,finding neverland,7.7,2004
25000000,comedy,the house bunny,5.5,2008
17000000,comedy,deuce bigalow: male gigolo,5.7,1999
2500000,comedy,frankenhooker,6.1,1990
175000000,drama,troy,7.2,2004
unknown,comedy,taxi blues,7.5,1990
60000000,action,in the name of the king: a dungeon siege tale,3.8,2007
35000000,biography,whiskey tango foxtrot,6.6,2016
28000000,action,american ultra,6.1,2015
90000000,crime,the girl with the dragon tattoo,7.8,2011
170000000,action,captain america: the winter soldier,7.8,2014
unknown,drama,marcel proust's time regained,6.8,1999
unknown,romance,bad girls,5.1,1994
28000000,biography,the big short,7.8,2015
150000000,action,transformers,7.1,2007
25000000,comedy,the girl next door,6.8,2004
unknown,comedy,the inbetweeners movie,6.8,2011
110000000,action,insurgent,6.3,2015
unknown,crime,the bag man,5.3,2014
80000000,animation,spirit: stallion of the cimarron,7.1,2002
130000000,action,g.i. joe: retaliation,5.8,2013
40000000,comedy,wayne's world 2,6.1,1993
unknown,comedy,empire records,6.7,1995
unknown,drama,a hijacking,7.2,2012
unknown,comedy,behind the mask: the rise of leslie vernon,6.8,2006
30000000,drama,the affair of the necklace,6.1,2001
25000000,biography,million dollar arm,7.0,2014
8030000,action,gunmen,5.2,1993
145000000,action,the mummy: tomb of the dragon emperor,5.2,2008
11000000,comedy,lol,4.3,2012
unknown,drama,a man in love,5.8,1987
unknown,biography,in love and war,6.0,1996
6200000,comedy,police academy: mission to moscow,3.3,1994
45000000,action,miss congeniality 2: armed and fabulous,5.0,2005
25000000,drama,luces de una gran ciudad,5.6,1988
12000000,comedy,crossroads,3.4,2002
500000,comedy,the station agent,7.7,2003
65000000,crime,collateral,7.6,2004
12000000,drama,paper towns,6.3,2015
unknown,comedy,butter,6.2,2011
unknown,comedy,holy matrimony,5.1,1994
25000000,comedy,the next best thing,4.7,2000
unknown,drama,me without you,7.0,2001
22000000,comedy,the witches of eastwick,6.5,1987
18000000,crime,before the devil knows you're dead,7.3,2007
unknown,drama,the fourth war,5.7,1990
unknown,adventure,benji the hunted,6.3,1987
82000000,action,sucker punch,6.1,2011
71000000,action,turbulence,4.8,1997
45000000,animation,the lion king,8.5,1994
unknown,comedy,father hood,4.8,1993
unknown,drama,raise the red lantern,8.2,1991
unknown,action,bloodsport 2,4.8,1996
25000000,action,maximum risk,5.4,1996
40000000,action,serenity,7.9,2005
22000000,comedy,the weather man,6.6,2005
unknown,comedy,turner & hooch,6.1,1989
6500000,comedy,thank you for smoking,7.6,2005
18000000,drama,love happens,5.6,2009
47000000,comedy,the cable guy,6.1,1996
unknown,drama,sleeping beauty,5.3,2011
15000000,action,the hills have eyes ii,5.1,2007
unknown,drama,new rose hotel,4.9,1998
90000000,action,the magnificent seven,6.9,2016
unknown,drama,jack the bear,6.5,1993
unknown,comedy,short time,6.4,1990
unknown,comedy,welcome home roxy carmichael,5.9,1990
24000000,adventure,captain ron,5.7,1992
45000000,comedy,scary movie 4,5.1,2006
110000000,action,300: rise of an empire,6.2,2014
15000000,biography,what's love got to do with it,7.2,1993
14600000,comedy,groundhog day,8.0,1993
unknown,biography,fat man and little boy,6.5,1989
68000000,action,money train,5.6,1995
35000000,drama,the shipping news,6.8,2001
27000000,mystery,ciudad en tinieblas,7.7,1998
4000000,comedy,the rules of attraction,6.7,2002
200000000,action,skyfall,7.8,2012
45000000,action,death race,6.4,2008
60000000,biography,joy,6.6,2015
35000000,biography,secretariat,7.2,2010
60000000,comedy,marley & me,7.1,2008
8700000,action,band of the hand,6.3,1986
700000,drama,half nelson,7.2,2006
75000,comedy,the unbelievable truth,7.5,1989
20000000,action,crank: high voltage,6.2,2009
60000000,action,flyboys,6.6,2006
unknown,drama,nightwatch,6.2,1997
unknown,drama,shopgirl,6.4,2005
135000000,animation,the croods,7.2,2013
unknown,biography,searching for bobby fischer,7.5,1993
unknown,drama,undertow,6.7,2004
60000000,animation,the tale of despereaux,6.1,2008
26000000,action,pain & gain,6.5,2013
unknown,animation,my little pony: the movie,6.0,1986
47000000,drama,mary reilly,5.8,1996
34000000,animation,eight crazy nights,5.3,2002
15000000,adventure,three burials,7.4,2005
unknown,comedy,austenland,6.3,2013
unknown,drama,heart of dixie,5.2,1989
1000000,comedy,wristcutters: a love story,7.4,2006
unknown,crime,el secreto,6.0,1998
61000000,crime,gone girl,8.1,2014
38000000,adventure,white squall,6.6,1996
unknown,comedy,willy/milly,5.7,1986
90000000,adventure,the secret life of walter mitty,7.3,2013
10000000,horror,body parts,5.5,1991
207000000,action,king kong,7.2,2005
unknown,horror,the bay,5.6,2012
unknown,adventure,under the same moon,7.4,2007
unknown,adventure,wings of courage,6.5,1995
20000000,comedy,crimes of the heart,6.4,1986
20000000,action,alone in the dark,2.3,2005
80000000,adventure,babe el puerquito va a la ciudad,5.8,1998
6200000,comedy,return of the living dead ii,5.8,1988
unknown,drama,intacto,6.9,2001
unknown,horror,el triturador,4.0,1995
12000000,adventure,my name is khan,8.0,2010
45000000,action,i love trouble,5.2,1994
25000000,crime,mystic river,8.0,2003
120000000,animation,cars,7.1,2006
unknown,comedy,chi-raq,5.7,2015
25000000,action,highlander: endgame,4.6,2000
110000000,action,salt,6.4,2010
unknown,biography,coco before chanel,6.7,2009
5000000,horror,insidious: chapter 2,6.6,2013
80000000,action,ransom,6.6,1996
16000000,drama,the illusionist,7.6,2006
15000000,comedy,beethoven's 2nd,4.8,1993
unknown,action,ned kelly,6.5,2003
unknown,crime,les misérables,7.5,1998
20000000,action,la hermandad,6.5,2009
unknown,crime,guilty as sin,5.6,1993
unknown,animation,a troll in central park,5.4,1994
24000000,animation,the rugrats movie,5.9,1998
10000000,action,free fire,6.5,2016
25000000,action,the losers,6.4,2010
170000000,action,snow white and the huntsman,6.1,2012
17000000,horror,the apparition,4.1,2012
99000000,animation,the peanuts movie,7.1,2015
3500000,drama,margin call,7.1,2011
11000000,crime,reservation road,6.7,2007
15000000,drama,little nikita,6.0,1988
unknown,biography,puncture,6.9,2011
7500000,action,rumble in the bronx,6.7,1995
12000000,comedy,girl 6,5.0,1996
22000000,drama,willard,6.2,2003
50000000,comedy,how to lose a guy in 10 days,6.4,2003
unknown,drama,the vanishing,6.3,1993
unknown,comedy,bread and tulips,7.4,2000
12000000,comedy,running with scissors,6.2,2006
unknown,horror,the stepfather,6.8,1987
30000000,adventure,sanctum,5.9,2011
unknown,comedy,the double,6.5,2013
7000000,adventure,the other side of heaven,6.5,2001
18000000,comedy,observe and report,5.8,2009
unknown,drama,cadence,6.6,1990
50000000,adventure,terror en silent hill,6.6,2006
65000000,action,hudson hawk,5.8,1991
4000000,adventure,mirrormask,6.9,2005
20000000,drama,two for the money,6.2,2005
8900000,drama,amour,7.9,2012
500000,drama,the slaughter rule,6.1,2002
55000000,comedy,meet the parents,7.0,2000
unknown,drama,eddie and the cruisers ii: eddie lives!,6.2,1989
44000000,drama,the juror,5.6,1996
9000000,drama,all or nothing,7.6,2002
unknown,family,courage mountain,5.8,1990
35000000,action,the skulls,5.6,2000
29000000,biography,confessions of a dangerous mind,7.1,2002
35000000,crime,the next three days,7.4,2010
50000000,drama,amor en rojo,7.6,2001
unknown,horror,scissors,5.2,1991
18500000,adventure,fear and loathing in las vegas,7.7,1998
unknown,action,man on fire,5.9,1987
unknown,comedy,peace love & misunderstanding,5.9,2011
50000000,horror,exorcist: the beginning,5.1,2004
unknown,action,the final cut,6.2,2004
unknown,comedy,amos & andrew,5.6,1993
19000000,biography,restoration,6.7,1995
15000000,drama,the remains of the day,7.9,1993
5740000,drama,japanese story,6.7,2003
56000000,action,the pacifier,5.6,2005
unknown,drama,of mice and men,7.5,1992
140000000,action,the perfect storm,6.4,2000
22000000,comedy,made in america,4.9,1993
20000000,crime,flawless,6.8,2007
30000000,comedy,my super ex-girlfriend,5.1,2006
16000000,comedy,once around,6.5,1991
unknown,comedy,side out,5.5,1990
10000000,action,a low down dirty shame,5.9,1994
25000000,adventure,the adventures of pinocchio,5.3,1996
4500000,drama,donnie darko,8.1,2001
25000000,adventure,the road,7.3,2009
unknown,comedy,the adjuster,6.7,1991
100000000,action,in the heart of the sea,6.9,2015
20000000,comedy,she's the man,6.4,2006
unknown,crime,suspect,6.6,1987
19000000,crime,gone baby gone,7.7,2007
18000000,comedy,julia una mujer seductora,7.0,2004
10500000,horror,graveyard shift,4.8,1990
15000000,drama,ex machina,7.7,2014
8000000,action,no holds barred,4.3,1989
unknown,drama,heavy,7.0,1995
unknown,comedy,pumpkin,6.3,2002
unknown,biography,sylvia,6.3,2003
unknown,drama,class action,6.4,1991
68000000,drama,k-pax,7.4,2001
55000000,action,first knight,5.9,1995
75000000,action,virus,4.9,1999
40000000,action,small soldiers,6.1,1998
unknown,biography,dahmer,5.6,2002
unknown,action,kinjite: forbidden subjects,5.4,1989
unknown,comedy,tamara drewe,6.2,2010
unknown,drama,howards end,7.5,1992
80000000,action,the book of eli,6.9,2010
31000000,biography,quiz show,7.5,1994
unknown,crime,la cérémonie,7.6,1995
25000000,comedy,son of the pink panther,3.8,1993
80000000,animation,fantasia 2000,7.2,1999
35000000,action,smilla's sense of snow,6.4,1997
32000000,adventure,tall tale,5.9,1995
16500000,comedy,the women,4.9,2008
15000000,crime,china moon,6.2,1994
30000000,biography,bugsy,6.8,1991
40000000,comedy,i love you man,7.0,2009
2500000,comedy,marilyn hotchkiss' ballroom dancing & charm school,6.6,2005
94000000,action,driven,4.5,2001
29000000,crime,mulholland falls,6.2,1996
35000000,crime,21,6.8,2008
3300000,crime,city of god,8.7,2002
8000000,comedy,easy a,7.1,2010
unknown,crime,the cure,7.4,1997
50100000,comedy,focus,6.6,2015
10000000,action,blind fury,6.3,1989
15000000,drama,little women,7.3,1994
unknown,drama,better than sex,6.4,2000
unknown,comedy,jury duty,4.1,1995
unknown,drama,taste of cherry,7.7,1997
unknown,biography,antes que anochezca,7.3,2000
150000000,animation,ratatouille,8.0,2007
50000000,comedy,daddy's home,6.1,2015
8000000,drama,permanent record,6.4,1988
75000000,action,deja vu,7.0,2006
63000000,action,rambo iii,5.7,1988
8000000,comedy,mi mascota es un zombie,6.7,2006
5000000,comedy,saved!,6.8,2004
25000000,action,el transportador recargado,5.1,2015
unknown,comedy,the barbarian invasions,7.7,2003
unknown,adventure,fly away home,6.8,1996
6000000,comedy,pecker,6.4,1998
56000000,action,walking tall,6.2,2004
unknown,drama,the saint of fort washington,7.2,1993
16000000,comedy,men women & children,6.7,2014
unknown,comedy,father of the bride,6.5,1991
unknown,drama,swades,8.3,2004
unknown,drama,la vida sin mí,7.6,2003
unknown,comedy,palindromes,6.8,2004
17000000,comedy,the best man holiday,6.7,2013
60000000,action,reign of fire,6.2,2002
3000000,drama,the secret of roan inish,7.5,1994
20000000,comedy,goodbye lover,5.7,1998
unknown,comedy,alucinaciones,4.7,2007
unknown,drama,judgement in berlin,5.9,1988
unknown,drama,the innocent,5.7,1993
25000000,comedy,don juan demarco,6.7,1994
3500000,comedy,she's the one,6.0,1996
unknown,drama,raining stones,7.5,1993
28000000,animation,aladdin,8.0,1992
70000000,comedy,that's my boy,5.6,2012
15000000,drama,the company,6.4,2003
7000000,horror,bad moon,5.7,1996
16000000,action,darkman,6.4,1990
3600000,comedy,evil dead ii,7.8,1987
unknown,crime,la jugada,7.2,1998
50000000,drama,hereafter,6.5,2010
19000000,crime,the two jakes,6.1,1990
55000000,comedy,wonder boys,7.4,2000
6500000,drama,shame,7.2,2011
47000000,action,dick tracy,6.1,1990
unknown,comedy,ménage,7.0,1986
unknown,action,death before dishonor,4.9,1987
2000000,drama,we are your friends,6.2,2015
12000000,drama,two lovers,7.1,2008
unknown,adventure,gold diggers: the secret of bear mountain,6.0,1995
18000000,comedy,brighton beach memoirs,6.9,1986
215000000,action,the lone ranger,6.5,2013
14000000,adventure,mom and dad save the world,5.3,1992
65000000,animation,astro boy,6.3,2009
20000000,horror,dead silence,6.2,2007
90000000,action,the last witch hunter,6.0,2015
7000000,drama,beyond the lights,6.9,2014
34000000,comedy,superstar,5.0,1999
150000000,animation,zootopia,8.0,2016
unknown,drama,the boxer,7.1,1997
195000000,adventure,jack the giant slayer,6.3,2013
unknown,comedy,worth winning,6.0,1989
175000000,action,suicide squad,6.2,2016
13000000,drama,sola contra el poder,7.4,2016
5000000,action,death wish v: the face of death,4.7,1994
unknown,comedy,hot rod,6.7,2007
10000000,drama,waterland,6.7,1992
45000000,comedy,legally blonde 2: red white & blonde,4.7,2003
unknown,action,the toxic avenger part iii: the last temptation of toxie,4.4,1989
10000000,drama,little man tate,6.7,1991
unknown,adventure,cabeza de vaca,7.0,1991
13000000,comedy,the favor,5.3,1994
12000000,comedy,about time,7.8,2013
5000000,comedy,flypaper,6.4,2011
3700000,action,miracle mile,7.0,1988
3500000,horror,ju-on: the grudge,6.7,2002
3000000,crime,simple men,7.2,1992
unknown,biography,maudie,7.7,2016
22000000,comedy,the santa clause,6.4,1994
unknown,drama,that night,6.7,1992
unknown,biography,the visual bible: the gospel of john,7.7,2003
26000000,drama,little children,7.6,2006
30000000,drama,wicker park,7.0,2004
70000000,action,next,6.2,2007
60000000,crime,the green mile,8.5,1999
70000000,adventure,the pink panther 2,5.6,2009
unknown,comedy,because i said so,5.6,2007
15000000,comedy,club paradise,4.9,1986
unknown,comedy,a night in the life of jimmy reardon,5.5,1988
20000000,drama,the rookie,7.0,2002
unknown,comedy,waking up in reno,5.5,2002
8000000,drama,spider,6.8,2002
7000000,action,end of watch,7.7,2012
14000000,comedy,crooklyn,6.9,1994
30000000,action,mortal kombat: annihilation,3.7,1997
unknown,biography,the intouchables,8.6,2011
unknown,drama,kabhi khushi kabhie gham...,7.5,2001
18000000,drama,midnight special,6.7,2016
unknown,musical,true stories,7.0,1986
30000000,comedy,larger than life,5.6,1996
unknown,action,dangerous ground,4.5,1997
6000000,action,top dog,4.1,1995
6000000,action,only the strong,6.7,1993
15000000,comedy,why did i get married?,5.7,2007
15000000,comedy,the pick-up artist,5.2,1987
unknown,comedy,box of moon light,7.3,1996
60000000,horror,psycho,4.6,1998
105000000,animation,the princess and the frog,7.1,2009
unknown,drama,manifesto,7.2,2015
25000000,drama,the crucible,6.8,1996
45000000,action,journey to the center of the earth,5.8,2008
4000000,comedy,scoop,6.7,2006
12500000,drama,the paperboy,5.8,2012
85000000,drama,what dreams may come,7.0,1998
unknown,drama,ida,7.4,2013
16000000,adventure,road trip,6.5,2000
unknown,drama,the united states of leland,7.1,2003
200000000,animation,finding dory,7.4,2016
3520000,action,steel dawn,5.0,1987
unknown,action,the karate kid part ii,5.9,1986
12000000,crime,rounders,7.4,1998
unknown,comedy,s.f.w.,5.9,1994
30000000,comedy,being human,5.4,1994
unknown,drama,the boy who could fly,6.5,1986
unknown,animation,ghost in the shell,8.0,1995
unknown,crime,this is england,7.7,2006
unknown,comedy,hysteria,6.7,2011
6000000,comedy,cool as ice,2.8,1991
30000000,comedy,first daughter,5.0,2004
13000000,drama,the perks of being a wallflower,8.0,2012
16400000,comedy,dead poets society,8.0,1989
31000000,animation,oliver & company,6.7,1988
30000000,adventure,the incredible burt wonderstone,5.9,2013
98000000,action,the mummy returns,6.3,2001
90000000,action,die hard with a vengeance,7.6,1995
15000000,biography,fire in the sky,6.5,1993
19000000,adventure,thomas and the magic railroad,3.7,2000
108000000,action,live by night,6.4,2016
unknown,drama,feast of love,6.7,2007
72000000,action,the last castle,6.9,2001
18000000,action,8 million ways to die,5.7,1986
38000000,comedy,la marca de la bestia,5.0,2005
2000000,action,captive,5.4,2015
22000000,biography,schindler's list,8.9,1993
unknown,drama,manic,7.4,2001
25000000,comedy,rules don't apply,5.7,2016
10000000,action,the perfect weapon,6.0,1991
25000000,drama,up in the air,7.4,2009
7500000,drama,get low,7.1,2009
5000000,comedy,slums of beverly hills,6.6,1998
5000000,drama,rabbit hole,7.0,2010
unknown,comedy,the girl on the bridge,7.6,1999
unknown,comedy,the love witch,6.2,2016
5000000,comedy,wet hot american summer,6.7,2001
32000000,action,big mommas: like father like son,4.4,2011
16000000,comedy,waiting to exhale,5.7,1995
unknown,biography,baadasssss!,7.4,2003
28000000,comedy,just my luck,5.4,2006
40000000,comedy,envy,4.8,2004
19250000,action,spartan,6.6,2004
33000000,drama,valmont relaciones peligrosas,7.0,1989
8000000,animation,anomalisa,7.2,2015
3500000,comedy,ringmaster,3.2,1998
100000,drama,another earth,7.0,2011
unknown,drama,las nubes de maría,6.7,2014
82000000,comedy,the longest yard,6.4,2005
66000000,drama,the x files,7.0,1998
18000000,comedy,blind date,5.9,1987
unknown,animation,la tortuga roja,7.6,2016
15000000,drama,match point,7.7,2005
unknown,horror,psicosis iii,5.3,1986
unknown,comedy,a room for romeo brass,7.7,1999
unknown,comedy,stepping out,6.4,1991
20000000,drama,retrato de amor,5.9,2007
80000000,animation,lilo & stitch,7.2,2002
165000000,animation,the polar express,6.6,2004
3000000,comedy,teen wolf too,3.2,1987
18000000,comedy,youth in revolt,6.5,2009
unknown,drama,kissed,6.4,1996
30000000,drama,lorenzo's oil,7.2,1992
unknown,crime,the manson family,5.5,1997
36000000,action,breakdown,6.9,1997
unknown,comedy,my giant,4.9,1998
450000,comedy,trick,7.2,1999
90000000,animation,alvin and the chipmunks: the road chip,5.1,2015
3000000,drama,before midnight,7.9,2013
31000000,comedy,sister act,6.3,1992
unknown,comedy,overboard,6.8,1987
20000000,action,the man who knew too little,6.6,1997
22000000,crime,lakeview terrace,6.1,2008
unknown,drama,europa,7.7,1991
500000,drama,the death of mr. lazarescu,8.0,2005
35000000,adventure,dumb and dumber to,5.7,2014
55000000,drama,burlesque,6.4,2010
30000000,crime,side effects,7.1,2013
15000000,adventure,barney's great adventure,2.9,1998
20000000,biography,selma,7.5,2014
unknown,adventure,mountains of the moon,7.3,1990
50000000,comedy,stepmom,6.7,1998
unknown,horror,night visitor,4.5,1989
unknown,drama,reform school girls,5.2,1986
unknown,comedy,irma vep,7.0,1996
165000000,adventure,interstellar,8.6,2014
62000000,action,3000 miles to graceland,5.9,2001
55000000,action,ronin,7.3,1998
80000000,crime,road to perdition,7.7,2002
unknown,crime,read my lips,7.4,2001
unknown,comedy,boy,7.5,2010
unknown,biography,glory road,7.2,2006
unknown,drama,about elly,8.1,2009
5000000,drama,youth without youth,6.3,2007
30000000,comedy,café society,6.7,2016
8000000,comedy,ruby sparks,7.2,2012
4000000,mystery,the boy next door,4.7,2015
15000000,drama,newsies,7.0,1992
135000000,action,the world is not enough,6.4,1999
unknown,adventure,grind,6.0,2003
26000000,crime,lawless,7.3,2012
4000000,horror,hellraiser: bloodline,5.1,1996
unknown,action,perrier's bounty,6.4,2009
11000000,drama,chloe,6.3,2009
12000000,animation,beavis and butt-head do america,6.8,1996
unknown,action,off limits,6.2,1988
1100000,action,from a whisper to a scream,6.0,1987
unknown,comedy,salmon fishing in the yemen,6.8,2011
50000000,action,domino,6.0,2005
31000000,crime,frequency,7.4,2000
22000000,drama,i am sam,7.6,2001
190000000,action,furious 7,7.2,2015
unknown,adventure,the color of paradise,8.2,1999
16000000,drama,naked lunch,7.1,1991
80000000,action,surrogates,6.3,2009
17000000,drama,losing isaiah,6.4,1995
50000000,comedy,the story of us,5.9,1999
18000000,drama,blue jasmine,7.3,2013
60000000,crime,a perfect murder,6.5,1998
10000000,horror,the collection,6.1,2012
unknown,action,bullies,5.4,1986
31000000,action,the dead pool,6.3,1988
40000000,crime,sin city,8.0,2005
45000000,comedy,liar liar,6.8,1997
80000000,sci-fi,the invasion,5.9,2007
24500000,adventure,the mission,7.5,1986
26000000,comedy,anchorman: the legend of ron burgundy,7.2,2004
45000000,action,shadow conspiracy,4.9,1997
4000000,comedy,thumbsucker,6.6,2005
unknown,biography,tous les matins du monde,7.6,1991
3000000,comedy,choke,6.5,2008
unknown,mystery,slam dance,5.3,1987
8000000,comedy,dr. jekyll and ms. hyde,4.4,1995
25000000,action,bloodrayne,2.9,2005
34000000,animation,ponyo,7.7,2008
100000000,comedy,fred claus,5.6,2007
unknown,biography,jimi: all is by my side,5.7,2013
25000000,action,nothing to lose,6.7,1997
7850000,action,double dragon,3.7,1994
11000000,drama,if i stay,6.8,2014
unknown,drama,to gillian on her 37th birthday,5.8,1996
unknown,action,taffin,5.6,1988
50000000,action,on deadly ground,4.4,1994
7000000,comedy,a serious man,7.0,2009
unknown,drama,weekend,7.7,2011
unknown,comedy,chasing papi,4.8,2003
15000000,drama,slumdog millionaire,8.0,2008
70000000,action,the kingdom,7.1,2007
19300000,drama,tideland,6.5,2005
72000000,biography,braveheart,8.4,1995
10000000,horror,paranormal activity: the ghost dimension,4.6,2015
31000000,crime,arlington road,7.2,1999
39200000,action,el expreso del miedo,7.0,2013
unknown,comedy,green card,6.2,1990
26000000,action,hot shots!,6.7,1991
20000000,action,equilibrium,7.5,2002
unknown,comedy,in the army now,4.8,1994
7000000,comedy,somewhere,6.3,2010
62000000,drama,lolita,6.9,1997
38000000,comedy,stranger than fiction,7.6,2006
unknown,action,rent-a-cop,4.3,1987
18000000,adventure,home alone 2: lost in new york,6.6,1992
unknown,drama,dance with me,5.8,1998
unknown,drama,the magdalene sisters,7.8,2002
40000000,drama,a cure for wellness,6.4,2016
unknown,crime,the cook the thief his wife & her lover,7.6,1989
unknown,comedy,hope and glory,7.4,1987
50000000,comedy,casper,6.0,1995
unknown,biography,tom & viv,6.5,1994
5000000,horror,halloween 4: the return of michael myers,5.9,1988
46000000,crime,prisoners,8.1,2013
105000000,action,10 000 bc,5.1,2008
6000000,comedy,lucas,6.8,1986
unknown,biography,close-up,8.3,1990
30000000,drama,the passion of the christ,7.2,2004
15000000,comedy,the muse,5.6,1999
unknown,drama,come see the paradise,6.7,1990
unknown,crime,fracture,7.2,2007
unknown,drama,shelter,7.8,2007
20000000,comedy,wild child,6.1,2008
30000000,action,the darkest hour,4.9,2011
35000000,comedy,guess who,5.9,2005
unknown,comedy,the real blonde,6.0,1997
unknown,drama,journey of hope,7.6,1990
unknown,drama,the return,8.0,2003
180000000,animation,wall·e,8.4,2008
135000000,animation,happy feet two,5.9,2011
unknown,crime,love & murder,4.4,1990
15000000,action,passenger 57,5.8,1992
12000000,comedy,the muppet christmas carol,7.7,1992
unknown,comedy,love don't cost a thing,5.1,2003
2000000,horror,return of the living dead iii,5.9,1993
unknown,comedy,leap of faith,6.1,1992
unknown,comedy,sour grapes,5.7,1998
13500000,action,teenage mutant ninja turtles,6.7,1990
12000000,drama,the fault in our stars,7.8,2014
unknown,comedy,summer storm,7.4,2004
unknown,drama,m. butterfly,6.8,1993
11000000,comedy,major league,7.2,1989
40000000,action,kiss of death,5.9,1995
10000000,action,the hunted,5.9,1995
unknown,comedy,madhouse,5.3,1990
20000000,crime,the american,6.3,2010
65000000,adventure,rv,5.5,2006
unknown,action,the navigator: a medieval odyssey,7.0,1988
40000000,horror,gothika,5.8,2003
20000000,crime,wild things,6.5,1998
18000000,drama,unforgettable,6.0,1996
unknown,drama,body chemistry,4.4,1990
70000000,comedy,click,6.4,2006
60000000,animation,kubo and the two strings,7.8,2016
31000000,comedy,mermaids,6.6,1990
unknown,action,masterminds,5.2,1997
7000000,comedy,sólo los amantes sobreviven,7.3,2013
unknown,drama,knight of cups,5.7,2015
unknown,biography,love is the devil: study for a portrait of francis bacon,6.4,1998
80000000,animation,scooby-doo 2: monsters unleashed,5.0,2004
125000000,action,noah,5.8,2014
80000000,action,the great raid,6.7,2005
7000000,drama,monkey shines,6.2,1988
30000000,comedy,secondhand lions,7.6,2003
3300000,horror,the lazarus effect,5.2,2015
60000000,animation,garfield 2,5.0,2006
35000000,action,johnny english,6.1,2003
unknown,thriller,half moon street,5.4,1986
unknown,comedy,18 again!,5.7,1988
6000000,thriller,the fourth protocol,6.5,1987
unknown,drama,29 palmas - pasiones salvajes,5.2,2003
35000000,comedy,hotel para perros,5.4,2009
10000000,drama,parkland,6.3,2013
12000000,action,next of kin,5.7,1989
8000000,comedy,the good guy,5.9,2009
unknown,action,the host,7.0,2006
20000000,comedy,moon over parador,5.9,1988
1500000,comedy,the squid and the whale,7.4,2005
20000000,drama,el gran pequeño,7.4,2015
20000000,adventure,strange wilderness,5.3,2008
26000000,comedy,the marrying man,5.7,1991
25000000,drama,rain man,8.0,1988
11700000,drama,the hand that rocks the cradle,6.6,1992
100000000,action,batman forever,5.4,1995
unknown,biography,patty hearst,6.3,1988
16000000,comedy,dumb and dumber,7.3,1994
30000000,action,looper,7.4,2012
160000000,action,fast & furious 6,7.1,2013
unknown,crime,lovers: a true story,7.2,1991
2500000,comedy,little secrets,6.5,2001
60000000,action,heat,8.2,1995
22500000,drama,promesa de vida,7.1,2014
unknown,comedy,passed away,5.9,1992
unknown,action,the principal,6.2,1987
140000000,action,armageddon,6.6,1998
20000000,comedy,night and the city,5.8,1992
unknown,drama,wild hearts can't be broken,7.2,1991
1600000,comedy,out of the dark,5.4,1988
unknown,action,american ninja 3: blood hunt,3.4,1989
